instnm,FIPS state code (HD2023),State abbreviation (HD2023),Full-time undergraduate students are enrolled (IC2023),Full time first-time degree/certificate-seeking undergraduate students enrolled (IC2023),Member of National Collegiate Athletic Association (NCAA) (IC2023),NCAA/NAIA member for football (IC2023),NCAA/NAIA member for basketball (IC2023),NCAA/NAIA member for baseball (IC2023),NCAA/NAIA member for cross country/track (IC2023),Open admission policy (IC2023),Total price for in-state students living on campus 2023-24 (DRVIC2023),Total price for out-of-state students living on campus 2023-24 (DRVIC2023),Percent admitted - total (DRVADM2023),Admissions yield - total (DRVADM2023),Full-time retention rate  2023 (EF2023D),Undergraduate enrollment (DRVEF2023),Graduation rate  total cohort (DRVGR2023),Percent of full-time first-time undergraduates awarded any financial aid (SFA2223),Percent of full-time first-time undergraduates awarded institutional grant aid (SFA2223),Admission test scores (ADM2023),Applicants total (ADM2023),Admissions total (ADM2023),Enrolled full time total (ADM2023),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2023),Published out-of-state tuition and fees 2023-24 (IC2023_AY),Books and supplies 2023-24 (IC2023_AY),Published in-state tuition and fees 2023-24 (IC2023_AY),In-state average tuition for full-time undergraduates (IC2023_AY),Out-of-state average tuition for full-time undergraduates (IC2023_AY),Number of programs offered (IC2023_PY),Books and supplies 2023-24 (IC2023_PY),Full time total (EF2023  All students  Undergraduate total),Full time men (EF2023  All students  Undergraduate total),Full time women (EF2023  All students  Undergraduate total)
University of Mississippi,28,MS,1,1,1,1,1,1,1,2,28952,46520,98,19,88,19094,68,85,73,5,27837,27218,5186,24,26980,1200,9412,9252,26820,,,18032,7677,10355
University of Missouri-Columbia,29,MO,1,1,1,1,1,1,1,2,32272,52480,77,31,91,23613,76,90,82,5,21669,16690,5097,10,34338,950,14130,13008,33216,,,22090,9996,12094
University of Missouri-Kansas City,29,MO,1,1,1,2,1,2,1,2,29566,46366,75,30,77,10149,56,96,85,5,5802,4351,1242,2,28788,800,11988,11190,29190,,,5800,2291,3509
University of Missouri-St Louis,29,MO,1,1,1,2,1,1,1,2,34106,54098,57,18,68,12137,57,100,99,5,4627,2645,434,8,33432,1000,13440,14400,35820,,,4198,1882,2316
University of Missouri-System Office,29,MO,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
University of Mobile,1,AL,1,1,0,2,1,1,1,2,43346,43346,73,23,72,1688,56,100,90,5,1735,1258,288,1,26120,1800,26120,24580,24580,,,1070,422,648
University of Montevallo,1,AL,1,1,1,2,1,1,1,2,29138,42158,54,15,73,2545,49,99,96,3,6210,3347,499,,26730,1020,13710,12090,25110,,,1936,765,1171
University of Mount Olive,37,NC,1,1,1,2,1,1,1,2,40512,40512,78,20,77,1937,47,100,96,5,1748,1359,271,,25950,1350,25950,24850,24850,,,1244,479,765
University of Mount Saint Vincent,36,NY,1,1,1,2,1,1,1,2,61610,61610,85,15,71,2398,57,93,84,5,3775,3195,486,3,42740,900,42740,41200,41200,,,2228,514,1714
University of Mount Union,39,OH,1,1,1,1,1,1,1,2,49976,49976,80,20,71,1927,65,100,100,5,3322,2661,536,1,35400,1520,35400,35000,35000,,,1779,925,854
University of Nebraska at Kearney,31,NE,1,1,1,1,1,2,1,2,26086,32044,86,15,77,4224,60,93,82,5,7253,6222,898,4,14260,770,8302,6480,14130,,,3691,1393,2298
University of Nebraska at Omaha,31,NE,1,1,1,2,1,1,1,2,24974,38962,87,25,76,11859,47,94,74,1,9889,8594,2091,0,22358,1120,8370,6536,20524,,,9910,4234,5676
University of Nebraska Medical Center,31,NE,1,2,0,2,2,2,2,-2,,,,,,897,,,,,,,,,,,,11340,30510,,,713,96,617
University of Nebraska-Central Administration System Office,31,NE,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
University of Nebraska-Lincoln,31,NE,1,1,1,1,1,1,1,2,28656,46296,77,33,84,19338,66,97,92,5,18354,14146,4676,8,27748,1250,10108,8010,25650,,,18449,9062,9387
University of Nevada-Las Vegas,32,NV,1,1,1,1,1,1,1,2,26504,43460,96,39,78,25794,50,95,76,5,12232,11774,4486,11,26098,1240,9142,8354,25307,,,19791,8662,11129
University of Nevada-Reno,32,NV,1,1,1,1,1,1,1,2,29264,46220,85,40,80,17965,62,94,83,3,10142,8652,3388,,25950,1200,8994,7876,24832,,,13757,6414,7343
University of New England,23,ME,1,1,1,1,1,2,1,2,63690,63690,89,13,75,3863,61,100,100,3,5091,4523,588,,42550,1500,42550,41050,41050,,,2191,690,1501
University of New Hampshire at Manchester,33,NH,1,1,0,2,2,2,2,2,,,87,16,68,522,65,89,85,5,505,441,68,29,35530,1000,15820,15150,34860,,,410,208,202
University of New Hampshire College of Professional Studies Online,33,NH,1,1,0,2,2,2,2,1,,,,,33,1100,14,85,39,,,,,,9372,900,7812,7536,9096,,,261,78,183
University of New Hampshire-Franklin Pierce School of Law,33,NH,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
University of New Hampshire-Main Campus,33,NH,1,1,1,1,1,2,1,2,36076,55846,87,14,86,11376,76,96,95,5,20887,18144,2605,30,38882,1000,19112,15520,35290,,,11098,4813,6285
University of New Haven,9,CT,1,1,1,1,1,1,1,2,69604,69604,81,12,77,4865,59,100,100,5,13498,10872,1294,26,45730,1240,45730,44100,44100,,,4548,1877,2671
University of New Mexico-Gallup Campus,35,NM,1,1,0,2,2,2,2,1,,,,,56,1677,19,96,4,,,,,,4843,1253,2575,1530,3727,,,668,273,395
University of New Mexico-Los Alamos Campus,35,NM,1,1,0,2,2,2,2,1,,,,,62,376,30,100,17,,,,,,5686,1330,2214,2096,5460,,,87,44,43
University of New Mexico-Main Campus,35,NM,1,1,1,1,1,1,1,2,26035,44370,95,29,73,16905,53,100,74,5,12907,12320,3509,64,26450,1328,8115,6803,25139,,,13651,5914,7737
University of New Mexico-Taos Campus,35,NM,1,1,0,2,2,2,2,1,,,,,41,854,16,100,41,,,,,,5004,1143,2004,1872,4872,,,209,75,134
University of New Mexico-Valencia County Campus,35,NM,1,1,0,2,2,2,2,1,,,,,57,1309,19,99,49,,,,,,5130,1660,1878,1788,5040,,,316,98,218
University of New Orleans,22,LA,1,1,1,2,1,1,1,2,28570,33406,67,17,70,5476,43,97,92,5,7253,4843,830,5,14008,1300,9172,6090,10926,,,3829,1908,1921
University of North Alabama,1,AL,1,1,1,1,1,1,1,2,24790,34990,96,26,78,7451,54,98,91,3,4398,4243,1083,,22190,1500,11990,10200,20400,,,4681,1707,2974
University of North Carolina Asheville,37,NC,1,1,1,2,1,1,1,2,22279,39627,94,12,73,2907,55,93,90,5,5465,5131,627,10,24809,1200,7461,4122,21470,,,2527,1021,1506
University of North Carolina at Chapel Hill,37,NC,1,1,1,1,1,1,1,2,26109,56450,19,43,97,20681,92,58,34,5,57902,10850,4688,29,39330,1290,8989,7019,37360,,,19840,7747,12093
University of North Carolina at Charlotte,37,NC,1,1,1,1,1,1,1,2,24672,39334,80,25,85,23981,68,72,47,5,22699,18208,4421,21,21876,950,7214,3812,18474,,,20823,10689,10134
University of North Carolina at Greensboro,37,NC,1,1,1,2,1,1,1,2,22313,38059,90,23,76,14156,58,90,81,5,12379,11120,2580,5,23339,850,7593,4422,20168,,,11760,3967,7793
University of North Carolina at Pembroke,37,NC,1,1,1,1,1,1,1,2,18665,22665,92,13,71,5485,45,88,42,5,7635,7052,871,0,7571,1000,3571,1000,5000,,,3992,1627,2365
University of North Carolina School of the Arts,37,NC,1,1,0,2,2,2,2,2,27036,44770,33,47,88,902,79,80,66,5,1423,471,221,16,27211,1440,9477,6497,24231,,,890,341,549
University of North Carolina System,37,NC,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
University of North Carolina Wilmington,37,NC,1,1,1,2,1,1,1,2,27030,42698,74,21,85,14494,71,72,50,5,17370,12856,2694,7,22985,1130,7317,4443,20111,,,12465,4684,7781
University of North Dakota,38,ND,1,1,1,1,1,2,1,2,26243,30862,77,31,83,10216,63,93,71,3,7437,5733,1715,,15570,800,10951,9237,13856,,,7075,3648,3427
University of North Florida,12,FL,1,1,1,2,1,1,1,2,23333,37737,62,21,81,14264,68,82,60,1,21568,13430,2629,70,20793,1200,6389,3996,16799,,,10712,4498,6214
University of North Georgia,13,GA,1,1,1,2,1,1,1,2,22459,32891,72,47,73,17242,37,91,19,5,11633,8394,3648,40,15441,1460,5009,4230,14986,,,11673,5184,6489
University of North Texas,48,TX,1,1,1,1,1,2,1,2,26987,37067,72,26,77,33858,60,91,69,5,36807,26671,6706,43,21244,1120,11164,8319,18399,,,27922,12547,15375
University of North Texas at Dallas,48,TX,1,1,0,2,1,2,1,2,24908,37507,94,13,70,3018,44,97,41,5,3939,3697,416,7,22189,1500,9590,7840,20439,,,1810,617,1193
University of North Texas Health Science Center,48,TX,1,2,0,2,2,2,2,-2,,,,,,17,,,,,,,,,,,,8750,27020,,,,,
University of North Texas System,48,TX,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
University of Northern Colorado,8,CO,1,1,1,1,1,1,1,2,31678,45872,86,14,74,6616,51,96,82,5,10274,8880,1214,23,26204,1200,12010,8784,23196,,,5190,1727,3463
University of Northern Iowa,19,IA,1,1,1,1,1,2,1,2,22726,34270,94,33,85,7734,69,83,73,5,4913,4638,1543,1,21272,800,9728,8396,19940,,,6985,2641,4344
University of Northwestern Ohio,39,OH,1,1,0,2,1,1,2,1,27057,27057,,,62,2572,54,90,23,,,,,,12930,1350,12930,11352,11352,,,2410,2023,387
University of Northwestern-St Paul,27,MN,1,1,1,1,1,1,1,2,52262,52262,92,33,84,3173,68,100,99,5,1194,1097,357,4,36830,700,36830,35970,35970,,,1847,789,1058
University of Notre Dame,18,IN,1,1,1,1,1,1,1,2,83271,83271,12,59,98,8968,97,68,58,5,28353,3510,2075,29,62693,1250,62693,62186,62186,,,8953,4579,4374
University of Oklahoma-Health Sciences Center,40,OK,1,2,0,2,2,2,2,-2,,,,,,1143,,,,,,,,,,,,5377,22647,,,1101,131,970
University of Oklahoma-Norman Campus,40,OK,1,1,1,1,1,1,1,2,30486,47556,77,30,89,22025,75,99,99,5,22337,17097,4464,26,26665,800,9595,5070,22140,,,19262,9334,9928
University of Oregon,41,OR,1,1,1,1,1,1,1,2,35721,63354,85,15,85,19963,71,90,80,5,39400,33532,4979,9,43302,1320,15669,12240,38683,,,18740,8173,10567
University of Pennsylvania,42,PA,1,1,1,1,1,1,1,2,89028,89028,6,69,98,11611,97,62,47,5,59465,3489,2416,51,66104,1358,66104,58620,58620,,,10610,4812,5798
University of Phoenix-Arizona,4,AZ,1,1,0,2,2,2,2,1,,,,,41,80637,20,91,29,,,,,,9552,1416,9552,9552,9552,,,80637,23987,56650
University of Phoenix-California,6,CA,1,2,0,2,2,2,2,-2,,,,,,155,18,,,,,,,,,,,9552,9552,,,155,75,80
University of Phoenix-Hawaii,15,HI,1,2,0,2,2,2,2,-2,,,,,,10,67,,,,,,,,,,,9552,9552,,,10,7,3
University of Phoenix-Nevada,32,NV,2,2,0,2,2,2,2,-2,,,,,,,0,,,,,,,,,,,,,,,,,
University of Phoenix-Texas,48,TX,1,2,0,2,2,2,2,-2,,,,,,20,0,,,,,,,,,,,9552,9552,,,20,10,10
University of Pikeville,21,KY,1,1,0,1,1,1,1,1,35980,35980,,,65,1596,39,100,99,,,,,,24150,190,24150,24000,24000,,,1116,500,616
University of Pittsburgh-Bradford,42,PA,1,1,1,2,1,1,2,2,31000,42874,91,7,61,1003,43,97,94,5,4985,4527,310,29,26494,750,14620,13660,25534,,,951,439,512
University of Pittsburgh-Greensburg,42,PA,1,1,1,2,1,1,1,2,32652,44526,98,13,68,1326,40,98,92,5,2936,2875,388,24,26504,750,14630,13660,25534,,,1270,543,727
University of Pittsburgh-Johnstown,42,PA,1,1,1,2,1,1,1,2,32468,44342,96,15,76,1940,53,97,88,5,3246,3113,473,50,26520,750,14646,13660,25534,,,1893,1051,842
University of Pittsburgh-Pittsburgh Campus,42,PA,1,1,1,1,1,1,1,2,38446,56812,50,16,92,25171,84,87,52,5,58416,29034,4547,41,39890,584,21524,20154,38520,,,19618,8231,11387
University of Pittsburgh-Titusville,42,PA,1,1,0,2,2,2,2,2,,,45,52,43,28,0,100,100,5,56,25,13,0,22210,750,11918,11568,21860,,,24,1,23
University of Portland,41,OR,1,1,1,2,1,1,1,2,74700,74700,95,8,83,3136,80,100,100,5,9041,8624,728,13,54900,810,54900,54400,54400,,,3051,1136,1915
University of Providence,30,MT,1,1,0,2,1,2,1,2,44518,44518,64,56,70,562,47,99,97,5,324,208,108,8,29018,1000,29018,28618,28618,,,479,197,282
University of Puget Sound,53,WA,1,1,1,1,1,1,1,2,78564,78564,76,11,80,1632,68,100,99,5,5548,4232,463,29,59900,1000,59900,59340,59340,,,1618,699,919
University of Redlands,6,CA,1,1,1,1,1,1,1,2,80474,80474,81,17,81,2100,71,99,98,5,3622,2931,482,18,57614,1700,57614,57264,57264,,,1887,793,1094
University of Rhode Island,44,RI,1,1,1,1,1,1,1,2,34994,54390,77,17,84,14670,71,99,98,5,25391,19568,3264,22,35804,1250,16408,14116,33512,,,13092,5428,7664
University of Richmond,51,VA,1,1,1,1,1,1,1,2,81320,81320,23,24,93,3054,88,69,63,5,15121,3525,832,20,62600,1000,62600,62600,62600,,,2942,1352,1590
University of Rio Grande,39,OH,1,1,0,2,1,1,1,1,36288,36288,,,64,2030,32,100,46,,,,,,20560,1200,20560,19600,19600,,,1186,532,654
University of Rochester,36,NY,1,1,1,1,1,1,1,2,85962,85962,36,20,93,6764,84,75,71,5,21680,7773,1543,26,64348,1310,64348,63150,63150,,,6350,3001,3349
University of Saint Francis-Fort Wayne,18,IN,1,1,0,1,1,1,1,2,51160,51160,98,29,66,1601,61,99,98,5,1560,1522,431,44,35420,1200,35420,34190,34190,,,1450,501,949
University of Saint Joseph,9,CT,1,1,1,2,1,1,1,2,62324,62324,80,12,86,879,70,98,97,5,1778,1416,173,10,45908,1200,45908,45608,45608,,,796,235,561
University of Saint Katherine,6,CA,1,1,0,2,1,1,2,2,,,46,55,58,230,43,100,94,3,160,74,41,,28800,938,28800,27000,27000,,,219,100,119
University of Saint Mary,20,KS,1,1,0,1,1,1,1,2,49672,49672,90,20,64,1015,44,100,100,5,1201,1079,220,8,33890,2550,33890,32750,32750,,,806,413,393
University of Saint Mary of the Lake,17,IL,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
University of San Diego,6,CA,1,1,1,1,1,1,1,2,79444,79444,47,17,90,5726,82,86,84,3,15953,7458,1244,,56444,938,56444,55690,55690,,,5596,2476,3120
University of San Francisco,6,CA,1,1,1,2,1,1,1,2,81426,81426,51,9,80,5729,71,97,97,5,25709,13052,1122,15,58222,1152,58222,57670,57670,,,5527,1918,3609
University of Science and Arts of Oklahoma,40,OK,1,1,0,2,1,1,1,2,21770,32960,56,33,71,914,36,99,93,5,1465,817,270,9,20190,1200,9000,6630,17820,,,845,281,564
University of Scranton,42,PA,1,1,1,2,1,1,1,2,72399,72399,84,13,87,3666,81,100,96,5,9530,8039,1026,31,52309,1300,52309,51534,51534,,,3511,1509,2002
University of Silicon Andhra,6,CA,2,2,0,2,2,2,2,2,,,95,86,,87,,,,3,44,42,,,,,,,,,,,,
University of Silicon Valley,6,CA,1,1,0,2,2,2,2,2,46272,46272,51,35,58,378,35,92,64,3,306,157,48,,22480,834,22480,21480,21480,,,289,214,75
University of Sioux Falls,46,SD,1,1,1,1,1,1,1,2,35045,35045,82,15,75,1276,61,100,100,3,2478,2034,308,,20740,1000,20740,20340,20340,,,1164,453,711
University of South Alabama,1,AL,1,1,1,1,1,1,1,2,25809,34785,65,23,76,8914,53,97,90,5,12593,8247,1898,6,18652,2020,9676,8976,17952,,,7499,2839,4660
University of South Carolina Aiken,45,SC,1,1,1,2,1,1,1,2,23836,34294,80,27,64,3109,40,99,35,5,2905,2316,611,30,21218,1240,10760,10398,20856,,,2441,927,1514
University of South Carolina Beaufort,45,SC,1,1,1,2,2,1,1,2,25861,36907,69,26,61,2067,39,94,50,3,2745,1899,493,,21776,1266,10730,10344,21390,,,1720,565,1155
University of South Carolina-Columbia,45,SC,1,1,1,1,1,1,1,2,31977,54223,61,25,91,28470,78,95,71,5,46682,28706,7311,32,34934,1226,12688,12288,34543,,,27430,11462,15968
University of South Carolina-Lancaster,45,SC,1,1,0,2,2,2,2,2,,,76,70,38,2328,29,92,42,3,646,490,337,,18238,1600,7558,7158,17838,,,770,345,425
University of South Carolina-Salkehatchie,45,SC,1,1,0,2,2,2,2,2,,,76,29,37,809,22,96,48,3,700,534,148,,18238,1600,7558,7158,17838,,,305,145,160
University of South Carolina-Sumter,45,SC,1,1,0,2,2,2,2,2,,,76,61,58,1692,36,97,34,3,594,453,273,,18238,1600,7558,7158,17838,,,563,256,307
University of South Carolina-Union,45,SC,1,1,0,2,2,2,2,2,,,70,66,66,1392,38,99,47,3,269,188,123,,18238,1600,7558,7158,17838,,,308,170,138
University of South Carolina-Upstate,45,SC,1,1,1,2,1,1,1,2,26860,37822,70,27,69,4471,42,98,40,5,3557,2476,670,6,22545,1600,11583,11208,22710,,,3537,1204,2333
University of South Dakota,46,SD,1,1,1,1,1,2,1,2,24639,28149,99,26,80,7095,61,95,70,5,5349,5293,1327,2,12942,1200,9432,7773,11283,,,4577,1588,2989
University of South Florida,12,FL,1,1,1,1,1,1,1,2,25625,36539,41,22,91,37269,75,88,62,1,65187,26699,5676,75,17324,770,6410,4559,15473,,,30184,12886,17298
University of Southern California,6,CA,1,1,1,1,1,1,1,2,90453,90453,10,45,97,21023,92,72,67,5,80808,8094,3630,32,68237,1200,68237,66640,66640,,,20502,9854,10648
University of Southern Indiana,18,IN,1,1,1,2,1,1,1,2,24584,37021,95,31,69,7428,52,99,94,5,4392,4157,1264,48,22573,1200,10136,8751,21188,,,4794,1811,2983
University of Southern Maine,23,ME,1,1,1,2,1,1,1,2,26812,42996,79,16,76,5520,46,98,91,1,5823,4618,687,12,27104,1000,10920,8316,24500,,,3404,1359,2045
University of Southern Mississippi,28,MS,1,1,1,1,1,1,1,2,27102,29102,99,20,70,10012,51,98,70,1,8818,8763,1695,0,11618,840,9618,9508,11508,,,8413,2987,5426
University of Spa & Cosmetology Arts,17,IL,1,1,-2,-2,-2,-2,-2,1,,,,,67,165,60,81,30,,,,,,,,,,,6,900,135,16,119
University of St Francis,17,IL,1,1,0,1,1,1,1,2,52780,52780,64,20,73,1306,65,100,100,5,1888,1207,238,56,37000,800,37000,37000,37000,,,1109,394,715
University of St Thomas,27,MN,1,1,1,1,1,1,1,2,68812,68812,85,22,86,6044,75,97,94,5,8813,7486,1679,3,52284,1000,52284,50788,50788,,,5888,2998,2890
University of St Thomas,48,TX,1,1,1,2,1,1,1,2,48904,48904,93,45,73,2969,69,94,88,5,1591,1485,663,22,33660,1094,33660,32900,32900,,,2388,923,1465
University of St. Augustine for Health Sciences,6,CA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
University of Texas Southwestern Medical Center,48,TX,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
University of the Arts,42,PA,1,1,0,2,2,2,2,2,77152,77152,78,23,81,1072,69,100,99,3,1367,1069,249,,54290,1314,54290,54010,54010,,,1044,363,681
University of the Cumberlands,21,KY,1,1,0,1,1,1,1,2,26143,26143,71,21,81,6091,46,100,69,3,4281,3056,574,,9875,0,9875,9875,9875,,,4284,1431,2853
University of the District of Columbia,11,DC,1,1,1,2,1,2,1,1,,,,,67,3297,26,73,23,,,,,,13004,1149,6152,5292,12144,,,1159,538,621
University of the Incarnate Word,48,TX,1,1,1,1,1,1,1,2,53970,53970,93,10,72,4726,52,99,99,5,11162,10421,1059,26,35660,250,35660,33700,33700,,,4070,1444,2626
University of the Ozarks,5,AR,1,1,1,2,1,1,1,2,37915,37915,58,17,73,763,52,100,100,5,1916,1114,188,26,25950,,25950,24950,24950,,,748,329,419
University of the Pacific,6,CA,1,1,1,2,1,1,1,2,76516,76516,95,14,89,3297,68,98,98,5,5763,5467,771,27,55340,938,55340,54506,54506,,,3188,1422,1766
University of the People,6,CA,1,1,0,2,2,2,2,1,,,,,79,36386,37,76,76,,,,,,1200,0,1200,0,0,,,17599,9683,7916
University of the Potomac-VA Campus,51,VA,1,1,0,2,2,2,2,1,,,,,75,177,78,0,0,,,,,,6660,500,6660,5760,5760,,,177,108,69
University of the Potomac-Washington DC Campus,11,DC,1,1,0,2,2,2,2,1,,,,,75,266,50,54,4,,,,,,6660,500,6660,5760,5760,,,266,123,143
University of the Southwest,35,NM,1,1,0,2,1,1,1,1,27670,27670,,,53,337,27,98,92,,,,,,16670,,16670,16470,16470,,,317,162,155
University of the West,6,CA,1,1,0,2,2,2,2,2,32796,32796,100,57,40,53,31,100,80,3,7,7,4,,14718,938,14718,13560,13560,,,47,18,29
University of Toledo,39,OH,1,1,1,1,1,1,1,2,32309,41669,95,20,76,11447,56,92,82,5,11184,10606,2072,10,21737,1240,12377,9753,19113,,,9289,4540,4749
University of Tulsa,40,OK,1,1,1,1,1,2,1,2,66688,66688,58,15,85,2485,73,100,100,5,6631,3845,559,26,48602,0,48602,46932,46932,,,2288,1122,1166
University of Utah,49,UT,1,1,1,1,1,1,1,2,30613,51135,87,28,85,26827,64,79,67,5,22996,20046,5371,10,29837,1100,9315,8175,28697,,,22374,11611,10763
University of Valley Forge,42,PA,1,1,1,2,1,1,1,2,45690,45690,78,30,70,498,56,100,97,3,403,315,94,,24510,1500,24510,23100,23100,,,422,217,205
University of Vermont,50,VT,1,1,1,2,1,2,1,2,35798,60798,60,17,88,12168,79,100,99,5,28236,16947,2881,35,43890,1200,18890,16280,41280,,,11410,4118,7292
University of Virginia's College at Wise,51,VA,1,1,1,1,1,1,1,2,28401,49285,94,22,73,1911,50,100,93,5,1414,1328,288,12,32540,1680,11656,6040,26182,,,1219,597,622
University of Virginia-Main Campus,51,VA,1,1,1,1,1,1,1,2,39926,76954,17,42,97,17612,95,44,26,5,56528,9533,3965,50,58014,1480,20986,18823,55450,,,16829,7329,9500
University of Washington-Bothell Campus,53,WA,1,1,0,2,2,2,2,2,34684,64038,92,27,86,5248,68,56,33,5,4776,4383,1124,4,41913,900,12559,11524,40878,,,4512,2487,2025
University of Washington-Seattle Campus,53,WA,1,1,1,1,1,1,1,2,34552,63906,43,26,95,39515,84,55,40,3,62428,26552,6928,,41997,900,12643,11524,40878,,,29863,12835,17028
University of Washington-Tacoma Campus,53,WA,1,1,0,2,2,2,2,2,33247,62601,83,25,78,4014,62,85,68,3,3161,2622,619,,42171,900,12817,11524,40878,,,3546,1839,1707
University of West Alabama,1,AL,1,1,1,1,1,1,1,2,23962,33062,87,18,61,2673,38,97,64,5,2041,1778,309,4,20090,1206,10990,9100,18200,,,2119,565,1554
University of West Florida,12,FL,1,1,1,1,1,1,1,2,23416,36297,57,27,88,9661,62,89,66,1,9831,5591,1277,49,19241,1600,6360,3735,16004,,,6570,2877,3693
University of West Georgia,13,GA,1,1,1,1,1,1,1,2,23640,34693,49,33,76,8413,43,93,15,1,8399,4147,1258,53,17024,1275,5971,4371,15424,,,5868,2180,3688
University of West Los Angeles,6,CA,1,2,0,2,2,2,2,-2,,,,,,6,,,,,,,,,,,,6960,6960,,,4,0,4
University of Western States,41,OR,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
University of Wisconsin-Eau Claire,55,WI,1,1,1,1,1,1,1,2,22243,31482,76,28,82,9304,68,78,44,5,10315,7848,2139,,18516,400,9277,7645,16884,,,8430,3326,5104
University of Wisconsin-Green Bay,55,WI,1,1,1,2,1,2,1,2,21460,30047,88,22,70,9853,53,80,33,5,6373,5598,1186,,16929,800,8342,6767,15354,,,5092,1920,3172
University of Wisconsin-La Crosse,55,WI,1,1,1,1,1,1,1,2,19767,28807,73,43,86,9378,71,75,23,5,7312,5356,2291,,18691,120,9651,7974,17014,,,8827,3765,5062
University of Wisconsin-Madison,55,WI,1,1,1,1,1,2,1,2,28905,58303,43,29,95,36797,89,60,32,5,63505,27529,7937,14,40603,1100,11205,9644,39042,,,34278,15980,18298
University of Wisconsin-Milwaukee,55,WI,1,1,1,2,1,1,1,2,25400,37400,88,23,72,18047,51,89,62,5,16662,14736,3305,,22020,800,10020,8455,20455,,,14804,6587,8217
University of Wisconsin-Milwaukee Flex,55,WI,1,2,0,2,2,2,2,2,,,92,83,,580,,,,3,13,12,,,,,,6750,6750,,,58,18,40
University of Wisconsin-Oshkosh,55,WI,1,1,1,1,1,1,1,2,21152,29065,87,22,72,12674,58,76,27,5,9082,7872,1691,,16125,1000,8212,6806,14719,,,6639,2790,3849
University of Wisconsin-Parkside,55,WI,1,1,1,2,1,1,1,2,21895,30537,73,20,71,3263,40,78,35,5,3911,2840,537,,16497,590,7855,6582,15224,,,2448,1119,1329
University of Wisconsin-Parkside Flex,55,WI,1,2,0,2,2,2,2,-2,,,,,,143,,,,,,,,,,,,6750,6750,,,13,9,4
University of Wisconsin-Platteville,55,WI,1,1,1,1,1,1,1,2,22069,31028,87,29,80,6270,62,96,88,5,5754,5021,1429,,17274,220,8315,6827,15786,,,5421,3417,2004
University of Wisconsin-River Falls,55,WI,1,1,1,1,1,1,1,2,20404,28685,82,22,73,4675,61,92,66,5,5903,4818,1049,,16887,440,8606,6837,15118,,,3857,1362,2495
University of Wisconsin-Stevens Point,55,WI,1,1,1,1,1,1,1,2,20906,29926,90,23,75,7419,56,93,83,5,8820,7950,1794,,17854,250,8834,7112,16132,,,6423,2864,3559
University of Wisconsin-Stout,55,WI,1,1,1,1,1,1,1,2,23128,31692,85,23,74,6093,53,77,29,5,6440,5457,1237,,18706,488,10142,7330,15894,,,5018,2907,2111
University of Wisconsin-Superior,55,WI,1,1,1,2,1,1,1,2,22360,30273,94,12,71,2086,44,81,48,5,2310,2163,252,,16400,1050,8487,6826,14739,,,1522,594,928
University of Wisconsin-System Administration,55,WI,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
University of Wisconsin-Whitewater,55,WI,1,1,1,1,1,1,1,2,19560,29226,83,24,78,9812,64,80,38,5,11190,9261,2179,,17916,300,8250,6812,16478,,,8363,4308,4055
University of Wyoming,56,WY,1,1,1,1,1,2,1,2,25868,41648,97,27,77,8250,60,94,83,3,5644,5498,1434,,22718,1670,6938,4980,20760,,,6851,3227,3624
University System of Maryland,24,MD,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
University System of Maryland-Research Centers,24,MD,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
University System of New Hampshire System Office,33,NH,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
Unlimited Cosmetology School,28,MS,1,1,-2,-2,-2,-2,-2,1,,,,,67,26,63,88,0,,,,,,,,,,,3,1100,16,0,16
UPMC Jameson School of Nursing,42,PA,1,1,-2,2,2,2,2,2,,,74,67,55,332,57,82,0,3,58,43,29,,15498,2495,15498,13498,13498,,,311,38,273
UPMC Mercy School of Nursing,42,PA,1,1,-2,2,2,2,2,2,30801,30801,74,86,60,305,80,80,0,3,47,35,11,,16190,2495,16190,14190,14190,,,244,36,208
UPMC Shadyside School of Nursing,42,PA,1,1,-2,2,2,2,2,2,,,65,100,27,594,43,91,0,3,66,43,32,,16190,2495,16190,14190,14190,,,466,63,403
UPMC St. Margaret School of Nursing,42,PA,1,1,-2,2,2,2,2,2,,,86,100,63,91,50,100,0,3,7,6,6,,16190,2495,16190,14190,14190,,,73,11,62
